timestamp,title,source,url,market_closed
2011-04-06,DEALTALK-ASX deal failure risks making SGX a takeover target,By Reuters,https://www.investing.com/news/stock-market-news/dealtalk-asx-deal-failure-risks-making-sgx-a-takeover-target-206302,0.0
2011-04-08,UPDATE 2-TMX deal opponent set to issue ,By Reuters,"https://www.investing.com/news/stock-market-news/update-2-tmx-deal-opponent-set-to-issue-""minority""-report-207088",0.0
2011-04-10,NEWSMAKER-Oxford academic battles the British banks,By Reuters,https://www.investing.com/news/forex-news/newsmaker-oxford-academic-battles-the-british-banks-207227,1.0
2011-04-12,LSE to challenge Liffe with FTSE futures in June,By Reuters,https://www.investing.com/news/stock-market-news/lse-to-challenge-liffe-with-ftse-futures-in-june-207729,0.0
2011-04-12,"Bats Europe CEO to run Bats Chi-X, Haynes departs",By Reuters,"https://www.investing.com/news/stock-market-news/bats-europe-ceo-to-run-bats-chi-x,-haynes-departs-207814",0.0
2011-04-13,UPDATE 1-Ontario legislators to approve TMX-LSE deal,By Reuters,https://www.investing.com/news/stock-market-news/update-1-ontario-legislators-to-approve-tmx-lse-deal-208296,0.0
2011-04-14,ANALYSIS-The devil will be in details of TMX-LSE review,By Reuters,https://www.investing.com/news/stock-market-news/analysis-the-devil-will-be-in-details-of-tmx-lse-review-208698,0.0
2011-04-19,TIMELINE-LSE/TMX deal faces many regulatory hurdles,By Reuters,https://www.investing.com/news/stock-market-news/timeline-lse-tmx-deal-faces-many-regulatory-hurdles-209884,0.0
2011-04-20,Britain's FTSE sharply higher on strong earnings,By Reuters,https://www.investing.com/news/stock-market-news/britain's-ftse-sharply-higher-on-strong-earnings-210049,0.0
2011-04-29,"UPDATE 2-LSE, TMX start long Canadian merger approval process",By Reuters,"https://www.investing.com/news/stock-market-news/update-2-lse,-tmx-start-long-canadian-merger-approval-process-212436",1.0
2011-05-09,UPDATE 2-Zoran's weak outlook worries merger partner CSR,By Reuters,https://www.investing.com/news/stock-market-news/update-2-zoran's-weak-outlook-worries-merger-partner-csr-214432,0.0
2011-05-13,Commodities rally underpins fragile FTSE revival,By Reuters,https://www.investing.com/news/stock-market-news/commodities-rally-underpins-fragile-ftse-revival-214910,0.0
2011-06-30,European stocks rise ahead of second Greek vote; DAX up 0.2%,By Investing.com,https://www.investing.com/news/stock-market-news/european-stocks-rise-ahead-of-second-greek-vote;-dax-up-0.2-218391,0.0
2011-06-30,Greek vote lifts European shares to near-4 wk high,By Reuters,https://www.investing.com/news/stock-market-news/greek-vote-lifts-european-shares-to-near-4-wk-high-218433,0.0
2011-08-17,"Euro stocks slump as Merkel, Sarkozy disappoint; DAX down 1.3%",By Investing.com,"https://www.investing.com/news/stock-market-news/euro-stocks-slump-as-merkel,-sarkozy-disappoint;-dax-down-1.3-221998",0.0
2011-08-17,REFILE-FTSE hurt by financials as summit disappoints ,By Reuters,https://www.investing.com/news/stock-market-news/ftse-hurt-by-financials-as-summit-disappoints-222011,0.0
2011-09-02,Britain's FTSE in technical slide ahead of US data,By Reuters,https://www.investing.com/news/stock-market-news/britain's-ftse-in-technical-slide-ahead-of-us-data-223109,0.0
2011-12-12,European shares slammed as summit disappoints; DAX off 3.36%,By Investing.com,https://www.investing.com/news/stock-market-news/european-shares-slammed-as-summit-disappoints;-dax-off-3.20-228003,0.0
2012-03-09,European stocks higher on Greek debt deal; DAX jumps 1.06%,By Investing.com,https://www.investing.com/news/stock-market-news/european-stocks-higher-on-greek-debt-deal;-dax-jumps-1.06-231266,0.0
2014-08-22,LSE unveils $1.6 billion rights issue for Frank Russell deal,By Reuters,https://www.investing.com/news/stock-market-news/lse-unveils-$1.6-billion-rights-issue-for-frank-russell-deal-305076,0.0
2014-09-09,"Exclusive: S&P, Markit finalists for $1 billion-plus Barclays index unit - sources",By Reuters,"https://www.investing.com/news/stock-market-news/s-amp;p,-markit-finalists-for-$1-bln-plus-barclays-index-unit--sources-308814",0.0
2014-09-12,Virgin Money appoints Moreno chairman in runup to possible flotation ,By Reuters,"https://www.investing.com/news/economy-news/virgin-money-appoints-moreno-chairman,-readying-for-ipo-309192",0.0
2014-09-12,Exclusive: MSCI global indices may include Alibaba after investor queries,By Reuters,https://www.investing.com/news/stock-market-news/exclusive:-msci-global-indices-may-include-alibaba-after-investor-queries-309277,0.0
