timestamp,Val,label
2013-02-15,1310000,0
2013-02-18,502120,0
2013-02-19,401030,0
2013-02-20,331820,0
2013-02-21,276100,0
2013-02-22,248470,0
2013-02-25,710000,0
2013-02-26,317880,0
2013-02-27,297370,0
2013-02-28,422460,0
2013-03-01,417320,0
2013-03-04,274890,0
2013-03-05,491180,0
2013-03-06,715590,0
2013-03-07,601570,0
2013-03-08,420640,0
2013-03-11,335350,0
2013-03-12,439020,0
2013-03-13,494830,1
2013-03-14,445850,1
2013-03-15,5910000,1
2013-03-18,843710,0
2013-03-19,537530,0
2013-03-20,453000,0
2013-03-21,446940,0
2013-03-22,481810,0
2013-03-25,625400,0
2013-03-26,490910,0
2013-03-27,745390,0
2013-03-28,500610,0
2013-04-02,470450,0
2013-04-03,305510,0
2013-04-04,357890,0
2013-04-05,642460,0
2013-04-08,407740,0
2013-04-09,370750,0
2013-04-10,1220000,0
2013-04-11,391930,0
2013-04-12,435270,0
2013-04-15,566200,0
2013-04-16,279650,0
2013-04-17,488050,0
2013-04-18,339150,0
2013-04-19,323550,0
2013-04-22,295130,0
2013-04-23,396660,0
2013-04-24,265590,0
2013-04-25,312030,0
2013-04-26,315830,0
2013-04-29,367820,0
2013-04-30,554340,0
2013-05-01,195100,0
2013-05-02,403730,0
2013-05-03,445050,0
2013-05-07,384300,0
2013-05-08,409590,0
2013-05-09,306670,0
2013-05-10,309170,0
2013-05-13,360930,0
2013-05-14,418830,0
2013-05-15,1050000,0
2013-05-16,500200,0
2013-05-17,562140,0
2013-05-20,220720,0
2013-05-21,314110,0
2013-05-22,216710,0
2013-05-23,445290,0
2013-05-24,287870,0
2013-05-28,329220,0
2013-05-29,318590,0
2013-05-30,622550,0
2013-05-31,608540,0
2013-06-03,252000,0
2013-06-04,278780,0
2013-06-05,531280,0
2013-06-06,473250,0
2013-06-07,518140,0
2013-06-10,443830,0
2013-06-11,311200,0
2013-06-12,283220,0
2013-06-13,520940,0
2013-06-14,322600,0
2013-06-17,294740,0
2013-06-18,324450,0
2013-06-19,273000,1
2013-06-20,347480,1
2013-06-21,672080,1
2013-06-24,281190,0
2013-06-25,353180,0
2013-06-26,244840,0
2013-06-27,342530,0
2013-06-28,542890,0
2013-07-01,293700,0
2013-07-02,583490,0
2013-07-03,721030,0
2013-07-04,579210,0
2013-07-05,429540,0
2013-07-08,401280,0
2013-07-09,378600,0
2013-07-10,355390,0
2013-07-11,282570,0
2013-07-12,634390,0
2013-07-15,496230,0
2013-07-16,261920,0
2013-07-17,409490,0
2013-07-18,1280000,0
2013-07-19,587170,0
2013-07-22,408380,0
2013-07-23,426940,0
2013-07-24,376440,0
2013-07-25,362560,0
2013-07-26,1400000,0
2013-07-29,220210,0
2013-07-30,229530,0
2013-07-31,435750,0
2013-08-01,570010,0
2013-08-02,287220,0
2013-08-05,502410,0
2013-08-06,309940,0
2013-08-07,1180000,0
2013-08-08,386110,0
2013-08-09,270120,0
2013-08-12,357370,0
2013-08-13,326390,0
2013-08-14,289250,0
2013-08-15,409950,0
2013-08-16,241270,0
2013-08-19,217390,0
2013-08-20,221630,0
2013-08-21,335670,0
2013-08-22,188920,0
2013-08-23,237850,0
2013-08-27,328450,0
2013-08-28,253660,0
2013-08-29,267880,0
2013-08-30,369020,0
2013-09-02,237250,0
2013-09-03,411290,0
2013-09-04,328960,0
2013-09-05,623820,0
2013-09-06,290820,0
2013-09-09,184550,0
2013-09-10,191700,0
2013-09-11,298190,0
2013-09-12,256990,0
2013-09-13,196600,0
2013-09-16,160570,0
2013-09-17,252350,0
2013-09-18,264790,1
2013-09-19,751940,1
2013-09-20,1070000,1
2013-09-23,1450000,0
2013-09-24,744860,0
2013-09-25,452440,0
2013-09-26,316720,0
2013-09-27,221860,0
2013-09-30,842160,0
2013-10-01,426130,0
