"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 01, 2016","8,547.97","8,585.34","8,621.14","8,481.77","-","-0.44%"
"Jan 29, 2016","8,585.34","8,359.62","8,585.34","8,359.62","-","2.70%"
"Jan 28, 2016","8,359.62","8,463.39","8,492.73","8,328.78","-","-1.23%"
"Jan 27, 2016","8,463.39","8,330.38","8,463.39","8,328.63","-","1.60%"
"Jan 26, 2016","8,330.38","8,341.99","8,341.99","8,188.48","-","-0.14%"
"Jan 25, 2016","8,341.99","8,370.42","8,430.25","8,315.05","-","-0.34%"
"Jan 22, 2016","8,370.42","8,206.18","8,390.54","8,206.18","-","2.00%"
"Jan 21, 2016","8,206.18","8,061.01","8,225.41","8,058.59","-","1.80%"
"Jan 20, 2016","8,061.01","8,353.88","8,353.88","8,021.21","-","-3.51%"
"Jan 19, 2016","8,353.88","8,236.87","8,431.57","8,236.87","-","1.42%"
"Jan 18, 2016","8,236.87","8,275.99","8,378.57","8,207.94","-","-0.47%"
"Jan 15, 2016","8,275.99","8,562.73","8,577.45","8,243.23","-","-3.35%"
"Jan 14, 2016","8,562.73","8,797.52","8,797.52","8,496.39","-","-2.67%"
"Jan 13, 2016","8,797.52","8,848.22","8,949.08","8,766.75","-","-0.57%"
"Jan 12, 2016","8,848.22","8,778.79","8,914.92","8,765.57","-","0.79%"
"Jan 11, 2016","8,778.79","8,805.70","8,843.16","8,724.85","-","-0.31%"
"Jan 08, 2016","8,805.70","8,872.51","8,985.95","8,805.70","-","-0.75%"
"Jan 07, 2016","8,872.51","9,099.83","9,101.11","8,784.02","-","-2.50%"
"Jan 06, 2016","9,099.83","9,212.62","9,217.15","9,044.97","-","-1.22%"
"Jan 05, 2016","9,212.62","9,189.39","9,260.70","9,145.73","-","0.25%"
"Jan 04, 2016","9,189.39","9,451.28","9,454.30","9,162.33","-","-2.77%"
"Dec 31, 2015","9,451.28","9,477.08","9,484.66","9,440.20","-","-0.27%"
"Dec 30, 2015","9,477.08","9,540.27","9,540.27","9,453.26","-","-0.66%"
"Dec 29, 2015","9,540.27","9,382.87","9,540.27","9,382.87","-","1.68%"
"Dec 24, 2015","9,382.87","9,378.62","9,428.34","9,378.62","-","0.05%"
"Dec 23, 2015","9,378.62","9,290.64","9,400.95","9,288.21","-","0.95%"
"Dec 22, 2015","9,290.64","9,246.18","9,340.27","9,223.41","-","0.48%"
"Dec 21, 2015","9,246.18","9,271.91","9,369.04","9,246.18","-","-0.28%"
"Dec 18, 2015","9,271.91","9,333.09","9,340.74","9,251.18","-","-0.66%"
"Dec 17, 2015","9,333.09","9,170.88","9,366.58","9,170.88","-","1.77%"
"Dec 16, 2015","9,170.88","9,133.67","9,186.75","9,133.10","-","0.41%"
"Dec 15, 2015","9,133.67","8,887.30","9,150.30","8,887.30","-","2.77%"
"Dec 14, 2015","8,887.30","8,926.70","9,069.41","8,880.96","-","-0.44%"
"Dec 11, 2015","8,926.70","9,203.20","9,203.20","8,921.55","-","-3.00%"
"Dec 10, 2015","9,203.20","9,361.63","9,361.63","9,202.94","-","-1.69%"
"Dec 09, 2015","9,361.63","9,379.53","9,421.75","9,324.24","-","-0.19%"
"Dec 08, 2015","9,379.53","9,526.17","9,544.60","9,347.06","-","-1.54%"
"Dec 07, 2015","9,526.17","9,473.52","9,593.93","9,473.52","-","0.56%"
"Dec 04, 2015","9,473.52","9,475.36","9,483.12","9,382.16","-","-0.02%"
"Dec 03, 2015","9,475.36","9,663.36","9,684.74","9,475.36","-","-1.95%"
"Dec 02, 2015","9,663.36","9,667.19","9,704.52","9,650.28","-","-0.04%"
"Dec 01, 2015","9,667.19","9,633.32","9,669.08","9,616.42","-","0.35%"
"Nov 30, 2015","9,633.32","9,622.74","9,646.02","9,560.47","-","0.11%"
"Nov 27, 2015","9,622.74","9,610.65","9,628.83","9,549.68","-","0.13%"
"Nov 26, 2015","9,610.65","9,565.64","9,613.58","9,560.30","-","0.47%"
"Nov 25, 2015","9,565.64","9,464.67","9,595.11","9,464.67","-","1.07%"
"Nov 24, 2015","9,464.67","9,564.37","9,572.30","9,379.73","-","-1.04%"
"Nov 23, 2015","9,564.37","9,629.46","9,629.46","9,552.16","-","-0.68%"
"Nov 20, 2015","9,629.46","9,580.51","9,634.38","9,560.26","-","0.51%"
"Nov 19, 2015","9,580.51","9,517.40","9,612.90","9,513.19","-","0.66%"
"Nov 18, 2015","9,517.40","9,532.58","9,532.58","9,475.17","-","-0.16%"
"Nov 17, 2015","9,532.58","9,351.85","9,532.58","9,351.85","-","1.93%"
"Nov 16, 2015","9,351.85","9,312.42","9,359.58","9,252.50","-","0.42%"
"Nov 13, 2015","9,312.42","9,421.17","9,422.80","9,277.48","-","-1.15%"
"Nov 12, 2015","9,421.17","9,537.59","9,563.04","9,407.38","-","-1.22%"
"Nov 11, 2015","9,537.59","9,473.75","9,555.58","9,471.46","-","0.67%"
"Nov 10, 2015","9,473.75","9,561.61","9,615.53","9,428.24","-","-0.92%"
"Nov 09, 2015","9,561.61","9,546.66","9,631.90","9,546.66","-","0.16%"
"Nov 06, 2015","9,546.66","9,460.90","9,572.04","9,424.66","-","0.91%"
"Nov 05, 2015","9,460.90","9,461.65","9,504.36","9,445.37","-","-0.01%"
"Nov 04, 2015","9,461.65","9,472.60","9,542.22","9,453.16","-","-0.12%"
"Nov 03, 2015","9,472.60","9,480.67","9,518.40","9,436.63","-","-0.09%"
"Nov 02, 2015","9,480.67","9,461.68","9,491.15","9,404.73","-","0.20%"
"Oct 30, 2015","9,461.68","9,481.20","9,506.77","9,430.88","-","-0.21%"
"Oct 29, 2015","9,481.20","9,504.19","9,524.18","9,445.04","-","-0.24%"
"Oct 28, 2015","9,504.19","9,423.41","9,512.78","9,406.25","-","0.86%"
"Oct 27, 2015","9,423.41","9,456.18","9,477.23","9,423.41","-","-0.35%"
"Oct 26, 2015","9,456.18","9,486.92","9,509.02","9,445.22","-","-0.32%"
"Oct 23, 2015","9,486.92","9,279.22","9,491.40","9,278.67","-","2.24%"
"Oct 22, 2015","9,279.22","9,210.17","9,282.40","9,136.55","-","0.75%"
"Oct 21, 2015","9,210.17","9,214.74","9,247.44","9,139.40","-","-0.05%"
"Oct 20, 2015","9,214.74","9,198.20","9,247.54","9,179.64","-","0.18%"
"Oct 19, 2015","9,198.20","9,182.62","9,232.44","9,151.01","-","0.17%"
"Oct 16, 2015","9,182.62","9,135.40","9,257.76","9,130.48","-","0.52%"
"Oct 15, 2015","9,135.40","8,916.02","9,135.40","8,914.69","-","2.46%"
"Oct 14, 2015","8,916.02","8,980.71","8,996.39","8,914.84","-","-0.72%"
"Oct 13, 2015","8,980.71","9,083.58","9,083.77","8,952.05","-","-1.13%"
"Oct 12, 2015","9,083.58","9,111.58","9,137.60","9,064.42","-","-0.31%"
"Oct 09, 2015","9,111.58","9,143.69","9,222.91","9,108.85","-","-0.35%"
"Oct 08, 2015","9,143.69","9,187.34","9,195.36","9,128.64","-","-0.48%"
"Oct 07, 2015","9,187.34","9,272.29","9,335.91","9,168.72","-","-0.92%"
"Oct 06, 2015","9,272.29","9,228.44","9,303.67","9,213.99","-","0.48%"
"Oct 05, 2015","9,228.44","9,011.17","9,247.27","9,011.17","-","2.41%"
"Oct 02, 2015","9,011.17","8,946.37","9,099.37","8,923.23","-","0.72%"
"Oct 01, 2015","8,946.37","8,867.20","9,023.30","8,867.20","-","0.89%"
"Sep 30, 2015","8,867.20","8,695.10","8,867.20","8,695.10","-","1.98%"
"Sep 29, 2015","8,695.10","8,873.64","8,873.64","8,694.58","-","-2.01%"
"Sep 28, 2015","8,873.64","9,071.84","9,074.75","8,873.64","-","-2.18%"
"Sep 25, 2015","9,071.84","8,867.98","9,108.60","8,867.98","-","2.30%"
"Sep 24, 2015","8,867.98","8,990.16","9,025.63","8,833.56","-","-1.36%"
"Sep 23, 2015","8,990.16","8,884.38","9,044.61","8,834.26","-","1.19%"
"Sep 22, 2015","8,884.38","9,111.77","9,139.22","8,884.38","-","-2.50%"
"Sep 21, 2015","9,111.77","9,087.33","9,209.56","9,024.45","-","0.27%"
"Sep 18, 2015","9,087.33","9,197.65","9,198.68","9,032.48","-","-1.20%"
"Sep 17, 2015","9,197.65","9,164.99","9,210.84","9,140.68","-","0.36%"
"Sep 16, 2015","9,164.99","9,092.67","9,216.48","9,092.67","-","0.80%"
"Sep 15, 2015","9,092.67","9,049.06","9,116.23","8,949.06","-","0.48%"
"Sep 14, 2015","9,049.06","9,064.89","9,175.43","9,040.97","-","-0.17%"
"Sep 11, 2015","9,064.89","9,096.23","9,108.60","9,052.27","-","-0.34%"
"Sep 10, 2015","9,096.23","9,161.17","9,161.17","9,049.55","-","-0.71%"
"Sep 09, 2015","9,161.17","8,988.20","9,231.49","8,988.20","-","1.92%"
"Sep 08, 2015","8,988.20","8,842.26","9,033.78","8,842.11","-","1.65%"
"Sep 07, 2015","8,842.26","8,783.33","8,872.19","8,783.33","-","0.67%"
"Sep 04, 2015","8,783.33","8,966.91","8,966.91","8,782.34","-","-2.05%"
"Sep 03, 2015","8,966.91","8,762.66","8,980.97","8,762.66","-","2.33%"
"Sep 02, 2015","8,762.66","8,731.68","8,829.13","8,699.10","-","0.35%"
"Sep 01, 2015","8,731.68","9,018.12","9,018.12","8,709.50","-","-3.18%"
"Aug 28, 2015","9,018.12","8,956.36","9,018.12","8,901.66","-","0.69%"
"Aug 27, 2015","8,956.36","8,735.98","8,982.70","8,735.98","-","2.52%"
"Aug 26, 2015","8,735.98","8,860.01","8,883.80","8,649.44","-","-1.40%"
"Aug 25, 2015","8,860.01","8,464.28","8,879.82","8,464.28","-","4.68%"
"Aug 24, 2015","8,464.28","8,790.95","8,790.95","8,248.56","-","-3.72%"
"Aug 21, 2015","8,790.95","9,065.12","9,065.12","8,790.95","-","-3.02%"
"Aug 20, 2015","9,065.12","9,198.68","9,199.75","9,055.03","-","-1.45%"
"Aug 19, 2015","9,198.68","9,330.01","9,330.01","9,198.68","-","-1.41%"
"Aug 18, 2015","9,330.01","9,335.56","9,364.86","9,313.36","-","-0.06%"
"Aug 17, 2015","9,335.56","9,365.68","9,427.59","9,278.84","-","-0.32%"
"Aug 14, 2015","9,365.68","9,350.24","9,437.08","9,345.87","-","0.17%"
"Aug 13, 2015","9,350.24","9,180.03","9,355.36","9,180.03","-","1.85%"
"Aug 12, 2015","9,180.03","9,414.40","9,414.40","9,141.72","-","-2.49%"
"Aug 11, 2015","9,414.40","9,479.54","9,479.63","9,412.69","-","-0.69%"
"Aug 10, 2015","9,479.54","9,431.23","9,483.65","9,377.57","-","0.51%"
"Aug 07, 2015","9,431.23","9,525.07","9,531.00","9,428.30","-","-0.99%"
"Aug 06, 2015","9,525.07","9,602.99","9,602.99","9,525.07","-","-0.81%"
"Aug 05, 2015","9,602.99","9,569.48","9,610.99","9,560.47","-","0.35%"
"Aug 04, 2015","9,569.48","9,537.04","9,569.48","9,482.72","-","0.34%"
"Aug 03, 2015","9,537.04","9,545.36","9,562.25","9,493.51","-","-0.09%"
"Jul 31, 2015","9,545.36","9,417.28","9,545.36","9,417.28","-","1.36%"
"Jul 30, 2015","9,417.28","9,425.25","9,518.40","9,388.38","-","-0.08%"
"Jul 29, 2015","9,425.25","9,358.25","9,474.23","9,358.25","-","0.72%"
"Jul 28, 2015","9,358.25","9,278.13","9,369.65","9,278.09","-","0.86%"
"Jul 27, 2015","9,278.13","9,481.59","9,487.58","9,278.13","-","-2.15%"
"Jul 24, 2015","9,481.59","9,559.60","9,587.50","9,481.33","-","-0.82%"
"Jul 23, 2015","9,559.60","9,611.60","9,673.91","9,544.78","-","-0.54%"
"Jul 22, 2015","9,611.60","9,681.17","9,681.17","9,585.55","-","-0.72%"
"Jul 21, 2015","9,681.17","9,778.47","9,785.08","9,666.75","-","-1.00%"
"Jul 20, 2015","9,778.47","9,742.95","9,833.37","9,730.13","-","0.36%"
"Jul 17, 2015","9,742.95","9,693.79","9,744.57","9,677.77","-","0.51%"
"Jul 16, 2015","9,693.79","9,598.86","9,720.99","9,597.67","-","0.99%"
"Jul 15, 2015","9,598.86","9,537.18","9,604.85","9,519.14","-","0.65%"
"Jul 14, 2015","9,537.18","9,579.87","9,589.45","9,473.67","-","-0.45%"
"Jul 13, 2015","9,579.87","9,472.67","9,579.87","9,472.63","-","1.13%"
"Jul 10, 2015","9,472.67","9,244.96","9,476.27","9,244.96","-","2.46%"
"Jul 09, 2015","9,244.96","9,057.67","9,284.84","9,055.97","-","2.07%"
"Jul 08, 2015","9,057.67","9,100.84","9,150.07","9,047.65","-","-0.47%"
"Jul 07, 2015","9,100.84","9,215.35","9,263.18","9,094.20","-","-1.24%"
"Jul 06, 2015","9,215.35","9,362.28","9,362.92","9,186.35","-","-1.57%"
"Jul 03, 2015","9,362.28","9,392.10","9,403.88","9,354.25","-","-0.32%"
"Jul 02, 2015","9,392.10","9,479.65","9,479.65","9,379.74","-","-0.92%"
"Jul 01, 2015","9,479.65","9,347.93","9,506.04","9,347.93","-","1.41%"
"Jun 30, 2015","9,347.93","9,390.06","9,432.14","9,283.24","-","-0.45%"
"Jun 29, 2015","9,390.06","9,645.77","9,645.77","9,354.70","-","-2.65%"
"Jun 26, 2015","9,645.77","9,701.80","9,702.10","9,605.09","-","-0.58%"
"Jun 25, 2015","9,701.80","9,690.99","9,737.53","9,639.27","-","0.11%"
"Jun 24, 2015","9,690.99","9,730.34","9,744.87","9,647.29","-","-0.40%"
"Jun 23, 2015","9,730.34","9,668.22","9,746.20","9,668.22","-","0.64%"
"Jun 22, 2015","9,668.22","9,492.79","9,671.31","9,492.79","-","1.85%"
"Jun 19, 2015","9,492.79","9,430.22","9,508.31","9,424.40","-","0.66%"
