"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2018","122.26","121.30","122.70","120.42","-","0.79%"
"Jun 13, 2018","121.30","121.27","121.94","120.88","-","0.02%"
"Jun 12, 2018","121.27","121.78","122.18","121.24","-","-0.42%"
"Jun 11, 2018","121.78","120.91","122.05","120.91","-","0.67%"
"Jun 08, 2018","120.97","121.30","121.47","120.26","-","-0.27%"
"Jun 07, 2018","121.30","121.52","122.08","121.24","-","-0.18%"
"Jun 06, 2018","121.52","121.11","121.75","120.84","-","0.34%"
"Jun 05, 2018","121.11","121.99","121.99","121.09","-","-0.72%"
"Jun 04, 2018","121.99","121.37","122.50","121.37","-","0.50%"
"Jun 01, 2018","121.38","121.01","122.11","121.01","-","0.31%"
"May 31, 2018","121.01","121.19","121.83","120.55","-","-0.15%"
"May 30, 2018","121.19","120.36","121.19","120.06","-","0.69%"
"May 29, 2018","120.36","121.91","121.91","120.03","-","-1.28%"
"May 28, 2018","121.92","121.92","121.92","121.92","-","0.00%"
"May 25, 2018","121.92","122.28","122.28","121.48","-","0.16%"
"May 24, 2018","121.73","122.96","123.03","121.73","-","-0.92%"
"May 23, 2018","122.86","123.74","123.98","122.49","-","-1.04%"
"May 22, 2018","124.15","123.83","124.59","123.76","-","0.27%"
"May 21, 2018","123.81","123.17","123.95","123.08","-","0.97%"
"May 18, 2018","122.62","122.55","122.87","122.22","-","-0.13%"
"May 17, 2018","122.78","121.84","122.78","121.72","-","0.59%"
"May 16, 2018","122.06","121.96","122.22","121.77","-","0.16%"
"May 15, 2018","121.87","121.44","122.33","121.31","-","0.09%"
"May 14, 2018","121.76","122.01","122.08","121.45","-","-0.16%"
"May 11, 2018","121.95","121.77","122.02","121.45","-","0.26%"
"May 10, 2018","121.63","121.33","121.72","120.49","-","0.46%"
"May 09, 2018","121.07","119.88","121.07","119.86","-","1.31%"
"May 08, 2018","119.51","119.70","120.06","119.28","-","-0.08%"
"May 07, 2018","119.60","119.60","119.60","119.60","-","0.00%"
"May 04, 2018","119.60","119.00","119.62","118.71","-","0.87%"
"May 03, 2018","118.57","119.28","119.49","118.45","-","-0.65%"
"May 02, 2018","119.34","119.31","119.80","119.23","-","0.34%"
"May 01, 2018","118.93","119.01","119.38","118.74","-","0.10%"
"Apr 30, 2018","118.81","118.75","119.43","118.75","-","0.08%"
"Apr 27, 2018","118.72","117.60","118.81","117.48","-","1.04%"
"Apr 26, 2018","117.50","116.63","117.50","116.53","-","0.60%"
"Apr 25, 2018","116.80","116.85","117.27","116.06","-","-0.63%"
"Apr 24, 2018","117.54","117.18","117.67","117.13","-","0.46%"
"Apr 23, 2018","117.00","116.54","117.08","116.37","-","0.41%"
"Apr 20, 2018","116.52","116.16","116.52","116.10","-","0.55%"
"Apr 19, 2018","115.88","116.08","116.23","115.58","-","0.05%"
"Apr 18, 2018","115.82","114.58","115.93","114.58","-","1.30%"
"Apr 17, 2018","114.33","114.32","114.57","113.88","-","0.22%"
"Apr 16, 2018","114.08","115.25","115.25","114.02","-","-1.05%"
"Apr 13, 2018","115.29","115.48","115.54","115.10","-","-0.03%"
"Apr 12, 2018","115.32","115.14","115.46","115.06","-","0.05%"
"Apr 11, 2018","115.26","115.21","115.50","115.06","-","-0.19%"
"Apr 10, 2018","115.48","115.09","115.48","114.68","-","0.96%"
"Apr 09, 2018","114.38","114.58","114.58","113.55","-","0.14%"
"Apr 06, 2018","114.22","114.19","114.66","113.86","-","-0.27%"
"Apr 05, 2018","114.53","113.46","114.53","113.10","-","2.44%"
"Apr 04, 2018","111.80","111.67","111.92","110.75","-","0.07%"
"Apr 03, 2018","111.72","111.30","112.22","111.22","-","-0.34%"
"Apr 02, 2018","112.10","112.10","112.10","112.10","-","0.00%"
"Mar 30, 2018","112.10","112.10","112.10","112.10","-","0.00%"
"Mar 29, 2018","112.10","112.03","112.96","111.95","-","0.13%"
"Mar 28, 2018","111.95","110.13","111.95","109.88","-","0.85%"
"Mar 27, 2018","111.01","110.54","111.69","110.54","-","1.68%"
"Mar 26, 2018","109.18","109.99","110.30","108.86","-","-0.51%"
"Mar 23, 2018","109.74","109.68","110.24","109.19","-","-0.50%"
"Mar 22, 2018","110.29","110.74","111.58","109.69","-","-1.27%"
"Mar 21, 2018","111.71","112.05","112.05","111.39","-","-0.29%"
"Mar 20, 2018","112.04","112.26","112.37","111.82","-","0.21%"
"Mar 19, 2018","111.81","113.55","113.55","111.69","-","-1.61%"
"Mar 16, 2018","113.64","113.00","113.97","113.00","-","0.46%"
"Mar 15, 2018","113.12","113.07","113.48","112.93","-","0.18%"
"Mar 14, 2018","112.92","112.88","113.65","112.79","-","-0.03%"
"Mar 13, 2018","112.95","114.15","114.31","112.76","-","-1.08%"
"Mar 12, 2018","114.18","114.79","114.80","113.94","-","-0.16%"
"Mar 09, 2018","114.36","113.99","114.40","113.83","-","0.28%"
"Mar 08, 2018","114.04","113.12","114.17","113.02","-","0.72%"
"Mar 07, 2018","113.23","113.04","113.57","112.47","-","0.17%"
"Mar 06, 2018","113.04","112.65","113.88","112.65","-","0.35%"
"Mar 05, 2018","112.65","111.98","112.70","111.80","-","0.60%"
"Mar 02, 2018","111.98","113.19","113.54","111.92","-","-1.59%"
"Mar 01, 2018","113.79","114.24","114.56","113.37","-","-0.69%"
"Feb 28, 2018","114.58","114.80","115.54","114.58","-","-0.69%"
"Feb 27, 2018","115.38","115.95","116.09","115.28","-","-0.16%"
"Feb 26, 2018","115.57","115.35","115.95","115.12","-","0.63%"
"Feb 23, 2018","114.85","115.05","115.05","114.44","-","-0.08%"
"Feb 22, 2018","114.94","114.78","115.11","113.95","-","-0.47%"
"Feb 21, 2018","115.48","114.82","115.67","114.52","-","0.50%"
"Feb 20, 2018","114.90","115.07","115.11","114.23","-","-0.17%"
"Feb 19, 2018","115.10","116.09","116.09","114.99","-","-0.69%"
"Feb 16, 2018","115.90","115.52","116.12","115.49","-","0.81%"
"Feb 15, 2018","114.97","115.09","115.48","114.56","-","0.28%"
"Feb 14, 2018","114.65","114.74","115.07","113.65","-","0.67%"
"Feb 13, 2018","113.89","114.09","114.40","113.78","-","-0.12%"
"Feb 12, 2018","114.03","113.73","114.34","113.44","-","1.21%"
"Feb 09, 2018","112.67","113.43","113.86","112.36","-","-1.08%"
"Feb 08, 2018","113.90","114.51","115.22","113.78","-","-1.39%"
"Feb 07, 2018","115.50","114.16","116.03","113.67","-","1.93%"
"Feb 06, 2018","113.31","116.37","116.37","112.93","-","-2.63%"
"Feb 05, 2018","116.37","116.85","117.13","116.37","-","-1.47%"
"Feb 02, 2018","118.11","118.64","118.76","117.88","-","-0.62%"
"Feb 01, 2018","118.85","120.09","120.09","118.61","-","-0.57%"
"Jan 31, 2018","119.53","120.61","120.61","119.35","-","-0.76%"
"Jan 30, 2018","120.44","121.14","121.54","120.38","-","-1.08%"
"Jan 29, 2018","121.76","121.63","121.98","121.57","-","0.10%"
"Jan 26, 2018","121.64","121.08","121.66","121.00","-","0.65%"
"Jan 25, 2018","120.85","121.46","121.62","120.71","-","-0.41%"
"Jan 24, 2018","121.35","122.75","122.82","121.35","-","-1.23%"
"Jan 23, 2018","122.86","122.92","123.05","122.51","-","0.15%"
"Jan 22, 2018","122.67","122.52","123.04","122.49","-","-0.15%"
"Jan 19, 2018","122.85","122.39","122.85","122.26","-","0.42%"
"Jan 18, 2018","122.34","122.91","122.99","122.07","-","-0.39%"
"Jan 17, 2018","122.82","123.00","123.17","122.60","-","-0.29%"
"Jan 16, 2018","123.18","123.33","123.78","122.91","-","-0.23%"
"Jan 15, 2018","123.47","123.54","123.60","123.33","-","-0.14%"
"Jan 12, 2018","123.64","123.56","123.86","123.25","-","0.08%"
"Jan 11, 2018","123.54","123.39","123.66","123.10","-","0.24%"
"Jan 10, 2018","123.24","122.82","123.38","122.72","-","0.29%"
"Jan 09, 2018","122.88","122.83","122.88","122.64","-","0.44%"
"Jan 08, 2018","122.34","122.75","122.90","122.27","-","-0.29%"
"Jan 05, 2018","122.69","122.27","122.76","122.19","-","0.34%"
"Jan 04, 2018","122.27","122.03","122.37","121.85","-","0.36%"
"Jan 03, 2018","121.83","121.80","122.14","121.37","-","0.21%"
"Jan 02, 2018","121.58","122.24","122.24","121.21","-","-0.56%"
"Jan 01, 2018","122.27","122.27","122.27","122.27","-","0.00%"
"Dec 29, 2017","122.27","121.17","122.40","121.17","-","0.89%"
"Dec 28, 2017","121.19","121.29","121.37","120.98","-","0.02%"
"Dec 27, 2017","121.16","120.77","121.36","120.76","-","0.31%"
"Dec 26, 2017","120.78","120.78","120.78","120.78","-","0.00%"
"Dec 25, 2017","120.78","120.78","120.78","120.78","-","0.00%"
"Dec 22, 2017","120.78","120.75","121.16","120.71","-","-0.21%"
"Dec 21, 2017","121.03","119.73","121.15","119.68","-","1.08%"
"Dec 20, 2017","119.74","119.99","120.18","119.55","-","-0.30%"
"Dec 19, 2017","120.10","119.99","120.43","119.94","-","0.13%"
"Dec 18, 2017","119.94","119.56","120.03","119.44","-","0.65%"
"Dec 15, 2017","119.17","118.39","119.17","118.32","-","0.54%"
"Dec 14, 2017","118.53","119.16","119.37","118.53","-","-0.79%"
"Dec 13, 2017","119.47","119.50","119.69","119.43","-","-0.05%"
"Dec 12, 2017","119.53","118.97","119.55","118.63","-","0.67%"
"Dec 11, 2017","118.74","118.05","118.77","118.05","-","0.93%"
